Input Sample,BC_01,BC_02,BC_03,BC_03LN,BC_04,BC_05,BC_06,BC_07,BC_07LN,BC_08,BC_09,BC_10,BC_11,P-value,Pearson Correlation,RMSE
TCGA-3C-AALI,0.08355900788394248,0.02206713930435889,0.10737106651258728,0,0,0.3020920261706411,0.06501718609241502,0.03281302972257882,0.14544351142684347,0.0666488114021832,0.1749882214844497,0,0,0.01,0.12525145316525335,1.1851004712031308
TCGA-3C-AALK,0.2301457875680201,0.05921383559860331,0,0.009333837836708799,0.005424491259662354,0.19442157450146225,0,0.05877210539879723,0.01739648882172315,0.4252918790150228,0,0,0,0,0.1888787547321695,1.16057728132291
TCGA-A1-A0SM,0.09483667686794456,0,0,0,0.1865416538019135,0.3242585061522615,0.13067368894390974,0.016372897901144733,0.11512232058569583,0.13219425574713015,0,0,0,0,0.3960751047317643,1.0073966686078595
TCGA-A1-A0SN,0.1430089631667124,0,0.08564867986168538,0.0466564048458819,0.05392453663161195,0.40396600184359543,0.044372420261435584,0.0340690870652106,0,0.09517178129988949,0.09318212502397728,0,0,0,0.23329437630108266,1.1176338582971093
TCGA-A2-A04W,0.0036434391718180204,0,0.010643052143612879,0,0.22207408688279806,0.40120921680355753,0.04617996683222381,0.050282333428497486,0.08411558321407155,0.18185232152342065,0,0,0,0,0.39168234038642874,1.0193259978304559
TCGA-A2-A04X,0.29724273671836,0,0,0.12674277766744663,0.09297017530663855,0,0.09149292483069385,0,0.09084048062592796,0,0.30071090485093305,0,0,0,0.18223264515478804,1.1470936841145036
TCGA-A2-A0CX,0.013741924305684024,0,0.14853108672649304,0,0,0.4004391275965097,0,0,0,0.18008028594574618,0.1123123347854458,0.08018706878821581,0.06470817185190555,0,0.3189002464681594,1.0544165411406377
TCGA-A2-A0D1,0.25980520264405027,0,0,0.04172338824016463,0,0.49882470618989444,0,0.006147385954985636,0.11106706904375274,0.05649212226264914,0.02594012566450313,0,0,0,0.3056288330773849,1.0871107621391325
TCGA-A2-A0EQ,0.1066130221146729,0,0.055030013037026516,0.22002602610937805,0,0,0,0.04552794548658495,0.12980677052585907,0,0.4429962227264785,0,0,0,0.1951159319605184,1.19250408901406
TCGA-A2-A0EY,0,0.08875366672569211,0.04512065089221756,0,0,0.40813139946714133,0.032834479669386504,0.012453902318034456,0.19280074806801178,0.12428837591501776,0.09561677694449851,0,0,0,0.2220169295865595,1.1320006992406817
TCGA-A2-A0T1,0,0,0.018475929510259913,0,0.0814463266416162,0.07962220767326948,0.07930739684829662,0.11143999563001848,0.1555588456753228,0.031990283273951356,0.44215901474726516,0,0,0.01,0.12365914324438838,1.2324636065267218
TCGA-A2-A0YG,0.09602121415257334,0.005061249468161449,0,0.1279664121057363,0,0.6083717943475606,0.07562148271502553,0.05743668726537114,0,0.029521159945571578,0,0,0,0,0.544642111182134,0.8945374702836302
TCGA-A2-A3XZ,0,0,0,0.05355812306197138,0,0.3037220941020406,0.27790505728101705,0.17913131556378256,0.11491899308682796,0.014903309333216725,0.05586110757114375,0,0,0.01,0.11796831377535175,1.2073300782976835
TCGA-A7-A2KD,0,0,0,0.1602349760946814,0,0.42591629761941546,0.005426164650367449,0.1301383960767734,0,0.1426555286827093,0.13562863687605295,0,0,0,0.21500221492179653,1.133684509200914
