gene_name	0	1	2	3	4	5	6	7	8
SERPINA3	3.89552768	4.81903554	5.83392024	9.12100339	0.08034757	5.46549838	0.83083105	0.11243676	0.07876163
ACACB	0.32007201	0.49593876	1.35109102	0.84704937	0.55090066	0.06004738	0.78105507	0.0	0.0
ADARB1	2.28191016	0.21590043	2.06268276	1.09405177	2.9039147	0.0	0.70715426	0.4940787	0.0
ADCY1	0.04289444	0.00651176	0.15342914	1.40306937	0.13033187	0.0	0.10865934	0.0	0.0
ADCYAP1	0.02021008	0.0	0.67163118	0.00196597	0.0	0.0	0.0	0.0	0.0
ADD3	5.49820527	4.28800693	6.69400438	1.72635566	6.34665878	5.2423008	3.14995686	1.68658899	5.48277659
ADM	2.15044363	4.22680209	5.39794286	2.86992523	0.26084685	2.29486577	1.96102579	4.91320437	0.35300956
AES	4.0500663	4.10003652	4.00481919	3.9304449	5.07811684	2.20424507	4.03699955	3.27390845	5.01824346
NR0B1	0.0	0.00548554	0.0	0.00340598	0.0	0.0	0.0	0.0	0.0
ALDH1B1	1.33842441	1.48971419	2.42239657	2.6996122	0.0304966	2.55887985	3.413	1.75837051	0.62604969
ALPL	1.95811352	0.3869423	1.60585314	0.0651336	0.0	0.0	0.34611049	0.01510689	0.0
AMFR	6.05413914	4.53090605	4.66706409	7.45149063	6.06038152	3.55826763	4.48428369	5.38080963	3.94141936
ANK1	2.40429006	0.28547268	1.33528868	0.86494698	0.70648032	0.0	0.0	0.0	0.0
APBA2	0.28116833	0.0726775	0.36724748	0.02406173	0.0	0.7531053	0.88765105	0.0	0.38527763
APBB2	1.96129258	1.01026834	2.59563026	3.82936065	2.13257684	3.81514843	3.65762157	0.03005723	0.63691458
BIRC5	6.67589152	5.54414385	4.69483711	3.68240986	6.92739549	4.05350962	5.37018678	3.9549799	5.08897075
APOD	5.07554027	2.52898798	7.47063843	9.13860785	3.55324878	3.29859722	2.84777066	3.8625819	1.51517417
APOE	0.18178409	0.0	2.09375065	1.15168173	0.0	1.27276973	0.15432815	6.96901837	3.09976275
AREG	3.84326605	7.65260429	4.13445695	5.24463801	3.16056821	6.86322093	0.28382621	2.2665104	6.59873077
ATF3	4.73792814	4.73486443	6.43161096	5.0643381	4.52085079	4.50281855	2.66836805	4.52778152	5.90616907
BCAT1	5.63214875	1.47224018	4.13207688	2.04585595	6.05572612	0.38082178	0.0	5.21416572	3.04953397
BCL2	2.08600729	0.76836079	2.10968378	3.82866851	3.51021392	0.09028889	1.36692004	3.08844515	0.09686154
TNFRSF17	5.77123005	0.0	0.75612685	0.4215477	5.90880199	0.0	0.0	0.0	2.95398946
BLK	2.41065123	0.0	0.74884074	0.01889309	1.18124715	0.0	0.0	0.0	0.23061293
BLVRB	4.6233067	5.69223854	6.05505348	7.08814063	5.0523408	1.91695428	5.12349399	6.08481398	5.44520802
ZFP36L2	6.15201316	6.85572873	6.7823434	6.20878503	5.4358407	5.17839927	4.75051142	5.63268149	6.69099125
BST1	0.29782027	0.5148136	1.28962255	0.70003611	0.0	1.48004965	2.29458518	1.86955975	0.0
BST2	6.47264153	6.51365617	6.94740914	8.77997895	5.8343044	5.50285832	8.85881574	8.51259285	8.77875067
KLF9	0.82520413	2.83110513	3.45853282	2.92934342	2.04598299	2.87011808	2.66580352	2.52131528	0.01435529
MPPED1	0.00437298	0.0	0.00842429	1.56107058	0.0	0.0	0.0	0.0	0.0
CA12	1.29980983	0.87071698	2.52200857	7.13144263	0.01435529	0.85665377	5.84843718	0.0	0.0
CALB2	0.50661645	0.22709559	2.79339583	1.70997232	0.0	0.04730571	0.0	0.0	0.0
CAMLG	3.96388692	4.17099327	4.79014991	5.56263098	3.91873316	2.88809379	3.20082427	3.69218049	4.6378485
CAPS	0.23200284	4.43902149	1.29706978	0.68844488	0.17748296	3.11117045	2.39346935	1.92839526	0.24421053
CAT	5.69813412	6.38492967	5.33490759	4.94558642	6.23443861	3.35055618	5.01201351	5.22934505	6.70926766
RUNX3	5.25679502	1.0497967	4.08276186	2.01763043	5.62297027	0.21516085	2.66481312	3.19061486	4.36671077
CD1A	2.27148971	0.00753725	2.12560727	0.27825514	6.14189348	0.0	0.0	5.25561999	0.0
CD1B	0.40793538	0.04464392	0.29586912	0.0	1.59454855	0.0	0.0	1.93536049	0.0
CD1C	5.58559569	0.17206075	4.57888869	0.41497192	6.58210434	0.0	0.0	5.68959344	0.0
CD1E	3.70348835	0.36337135	3.45347756	0.05935528	6.59338094	0.0	0.0	4.72548286	0.0
CD2	4.79926312	3.69509238	6.43711221	2.9228552	3.96196001	0.56559718	0.0	5.3857943	6.66604643
CD3D	4.98647595	3.61316678	7.20558293	2.74586314	0.64070505	0.67543959	0.0	6.75793559	8.26675531
CD3E	3.05766688	0.63271137	3.8753402	0.58408788	0.0	0.0	0.0	3.26145164	5.57418563
CD3G	5.44017508	2.61032885	6.97261459	2.61316729	1.50149705	3.97372606	0.94219665	7.15677767	8.14856979
CD6	1.11674496	0.14715161	1.43773391	0.02972593	0.59194048	0.03268862	0.0	4.00227614	0.30969361
CD8A	1.74385345	1.17221318	3.56496423	1.30227917	2.86087253	2.17406014	1.11264633	5.0146137	6.47326379
CD8B	1.74907449	0.34022314	2.07440703	0.1619756	0.0	0.0	0.09412708	4.95373085	4.13317076
CD19	5.1491374	0.0	2.23828016	0.01643149	5.67374913	0.0	0.0	0.0	0.01594154
MS4A1	10.05452534	0.29754081	6.12571457	4.36100905	10.69046789	0.1115878	0.0	0.32617399	5.01485118
CD28	1.58358785	0.3580211	3.90247872	0.6718286	0.07910654	0.13750352	0.0	1.26303441	0.24623916
SIGLEC6	0.01715838	0.0	0.00786948	0.0	0.32507236	0.0	0.0	1.21804695	0.33215095
SCARB2	2.82589463	6.37723946	4.74329834	5.24030739	0.16525419	5.07583566	5.84350574	6.57154908	5.14649231
CD38	6.93039732	0.13030334	3.26119832	0.99868786	6.37974067	0.09479907	0.0	5.96781174	6.07777707
CD68	4.56442172	1.80155286	3.14185367	2.24341982	4.31410324	3.18209635	0.0	7.8894191	6.42474484
CD70	0.83317925	0.0	0.19461648	0.0	2.04296264	0.0	0.0	0.0	0.0
CD72	5.97238495	1.91929468	3.44206737	2.33316348	5.35155766	1.21723072	0.40159524	4.47777957	0.41923924
LRBA	4.0720139	4.28688115	3.74025374	4.58980706	4.07572709	2.02812708	4.43071692	3.98827807	3.82533337
CDC5L	4.41905727	5.51098452	4.22415628	3.97285137	4.62189203	4.40859865	4.96350396	3.55955621	2.10284473
CDC6	5.40013534	6.34483272	4.0013295	4.79065832	4.06338528	5.01673402	7.17403651	2.43969312	3.54500735
CDC25C	2.94341905	2.59619686	1.97857995	2.62152444	4.177193	2.08207806	2.13363776	0.05731345	1.89939049
CEACAM5	0.89100248	7.9413998	2.84406155	0.8806321	0.02212566	5.62480764	2.38489652	0.0	1.7879896
CENPF	6.44021069	3.33471809	4.61343071	2.78657735	6.68369645	4.55870132	4.8066151	3.56457071	3.91046618
CEACAM3	0.02578817	0.00992723	0.03153557	0.0	0.0	0.0	0.0	0.0	0.0
CEACAM8	0.11555648	0.03361178	0.93574104	0.03101015	0.0	0.0	0.02010355	0.0	0.0
CHI3L1	5.26395324	3.60231887	6.94075924	2.8300709	0.0	0.07038933	0.0	0.15602185	0.7200352
CHIT1	0.12030454	0.32439917	0.31662582	0.68689775	0.0	0.0	0.11468943	0.11243676	0.44655033
CLC	0.01970191	0.0	0.0	0.25294405	0.0	0.0	0.0	0.0	0.0
CMA1	0.0	0.0	0.02199008	0.0	0.0	0.0	0.0	0.0	0.0
CCR3	4.89406418	0.03058832	0.00937489	0.00784786	0.01630181	0.02502879	0.0	0.0	0.0
COL6A1	0.68160989	0.84360106	4.41743667	0.20880099	0.0	0.14077866	0.0	1.78945471	0.0
COL8A2	0.16234817	0.0	0.73425301	0.16466928	0.0	0.0	0.0	0.60806218	0.0
COX6C	9.48629274	10.64971489	9.54965386	12.95433147	9.13598439	7.97345343	10.34263191	8.8532603	9.1125901
CPA3	0.27564564	0.0	0.0277875	0.89678263	0.0	1.08661395	0.0	0.0	0.0
CPB1	0.05410424	0.08956272	0.60737119	11.47057832	0.65118219	3.21742461	4.42795214	0.0	0.01752605
CR2	4.94485845	0.0	3.7418394	0.3181459	5.13772706	0.00599874	0.0	0.0	0.0
ATF2	6.15198055	5.09218327	5.54089418	5.40690149	5.64317403	1.32696871	4.86538406	3.15312265	4.34087872
