	healthy
OR4F5	0.0019666212534195098
OR4F29	0.0
OR4F16	0.0
SAMD11	1.1948710350163068
NOC2L	2.4223003385865853
KLHL17	1.9296519833810752
PLEKHN1	1.451814751025914
HES4	2.199223896842605
ISG15	2.3523794184846376
AGRN	2.2976538499393593
RNF223	0.8779042384747384
C1orf159	1.9269693859910082
TTLL10	1.0404277683296501
TNFRSF18	1.4611750272118949
TNFRSF4	1.920642587687138
SDF4	2.640093132809555
B3GALT6	2.0454992383594974
UBE2J2	2.1702640882059256
SCNN1D	1.8100058722091508
ACAP3	2.3309335759585132
PUSL1	2.011333543231875
TAS1R3	0.5720248711869318
DVL1	2.4080703308499616
MXRA8	2.6977487782347755
AURKAIP1	2.517777903659846
CCNL2	2.7265537673501523
MRPL20	2.445825192954632
ANKRD65	1.9610934536142677
TMEM88B	0.2637622709173708
VWA1	2.236049858907761
ATAD3C	1.4935850471104262
ATAD3B	2.2336550721655466
ATAD3A	2.1536867172642835
TMEM240	1.6089594483059528
SSU72	2.480198921184247
MIB2	2.2141965862689985
MMP23B	1.1646919192399254
CDK11B	2.2662612454075286
SLC35E2B	2.2510317904246864
CDK11A	2.315596115638301
SLC35E2	1.6638363777606884
NADK	2.446884553462848
GNB1	2.7100060275380433
CALML6	1.1707721617810736
TMEM52	1.2567064107843613
GABRD	0.9115230324586118
PRKCZ	1.3076871849108636
SKI	2.438220735091296
MORN1	1.4994354012279272
RER1	2.348077732161887
PEX10	1.8989401752313908
PLCH2	1.991051400087862
PANK4	2.0095215477851474
HES5	0.7161931863422661
TNFRSF14	2.52940636400512
FAM213B	1.7426056479146566
MMEL1	0.8753737550172392
TTC34	0.5505238790337567
ACTRT2	0.22372760454457993
PRDM16	1.2087693443053464
ARHGEF16	1.8611950235726311
MEGF6	2.278325096853775
TPRG1L	2.451908663997377
WRAP73	2.1410688946514393
TP73	1.2088265202566888
CCDC27	0.07691779560574898
SMIM1	1.3925777540170863
LRRC47	2.369533432201863
CEP104	1.878079155359541
DFFB	1.6703448263196665
C1orf174	2.099260153793371
AJAP1	0.5599152885215772
NPHP4	1.810928394927283
KCNAB2	1.7609782897767996
CHD5	0.35600606293085574
RPL22	2.7662226224555893
RNF207	1.8059326579075656
ICMT	2.1239994937283817
HES3	0.0032669531727341355
GPR153	2.125612567051035
ACOT7	1.6993542117407676
HES2	0.6719746252590375
ESPN	1.7448664663405107
TNFRSF25	2.079056774178368
PLEKHG5	2.122827964645256
NOL9	1.771269037173812
TAS1R1	0.3481599453416579
ZBTB48	2.184668244121891
KLHL21	2.301780973765378
PHF13	2.1658285909795314
THAP3	2.049780263076207
DNAJC11	2.06589520922691
CAMTA1	1.7281666985811268
VAMP3	2.5890334748648436
PER3	1.9671503472161824
UTS2	0.19350692674831757
TNFRSF9	0.13911631185524662
PARK7	2.717161713033382
ERRFI1	2.703251430579405
SLC45A1	1.6355359999317118
RERE	2.4663086726959476
ENO1	2.924687898237624
CA6	0.48220012732167206
SLC2A7	0.04763433615563944
SLC2A5	1.7064410779450632
GPR157	1.5229627676991297
H6PD	2.3526316343215665
SPSB1	2.322570721731206
SLC25A33	1.7773213109467505
TMEM201	1.658650462511418
PIK3CD	1.5828187368291957
CLSTN1	2.3508847960526653
CTNNBIP1	2.2326037149888354
LZIC	1.9752655241725428
NMNAT1	1.538869610822554
RBP7	2.840510643213269
UBE4B	2.096314867267431
KIF1B	1.8912204881795451
PGD	2.617673908386646
CORT	0.848876255902751
DFFA	1.9296144894774365
PEX14	2.193787583132491
CASZ1	1.9552984954763304
C1orf127	0.3076843197122126
TARDBP	2.542285993761607
MASP2	1.5838597027948909
SRM	2.520229531416948
EXOSC10	2.441635903777222
MTOR	1.9957248194423998
ANGPTL7	1.814226909603123
UBIAD1	1.8267951047451192
FBXO2	2.2325848805759323
FBXO44	2.266128276776931
FBXO6	1.9495916775138706
MAD2L2	2.1257944552809773
DRAXIN	0.17271930129476723
AGTRAP	2.302253608916677
C1orf167	0.1495703497639268
MTHFR	1.7603771855240087
CLCN6	2.141006693785286
NPPA	1.759319198883861
NPPB	0.763078882878206
KIAA2013	2.3171855002870156
PLOD1	2.4631387165687224
MFN2	2.4166134644821926
MIIP	2.1822268741265023
TNFRSF8	1.5218021540683038
TNFRSF1B	2.5122394894186626
VPS13D	2.0057755310614356
DHRS3	2.6179647423429855
AADACL4	0.1529044959872495
AADACL3	0.055230610976542076
C1orf158	0.028828783313395938
PRAMEF12	0.006625966593633189
PRAMEF1	0.008175188594387301
PRAMEF11	0.007974943725670649
HNRNPCL1	0.010360147592175127
PRAMEF2	0.007336442485246292
PRAMEF4	0.0068753698340682165
PRAMEF10	0.00243770376824791
PRAMEF7	0.00048368490167696233
PRAMEF6	0.0008349568977164009
PRAMEF25	0.0005820974973407348
PRAMEF26	0.014023158153501523
PRAMEF5	0.00020120462526230837
PRAMEF8	0.0
PRAMEF9	0.00020034073505747734
PRAMEF13	0.0012153292806691863
PRAMEF18	0.0018973212587097355
PRAMEF15	0.00028493385725123605
PRAMEF14	0.0012387340023030599
PRAMEF19	0.0007699210495511167
PRAMEF17	0.0009839196444228488
PRAMEF20	0.00045583974613307946
LRRC38	0.5752767898636897
PDPN	2.1996764143179477
PRDM2	2.0872033965340027
KAZN	1.9362560933621444
TMEM51	1.8309789000586778
FHAD1	0.4768219670865694
EFHD2	2.3671990557853917
CTRC	0.9623103819464665
CELA2A	1.3203107188619234
CELA2B	0.7380872591212607
CASP9	1.812533535891777
DNAJC16	1.760743988180381
AGMAT	0.43672247968322486
DDI2	1.597509714508602
PLEKHM2	2.4619228452082056
SLC25A34	1.4733367228336014
TMEM82	0.04480030971324221
FBLIM1	2.2581085214521486
SPEN	2.2152611440747276
ZBTB17	2.148109144557569
HSPB7	2.625955575666387
CLCNKA	1.1294899205612494
CLCNKB	0.5033498626880014
FAM131C	0.6538663524929265
EPHA2	2.2031163927959034
ARHGEF19	1.9500593218375062
RSG1	1.4200573933943759
FBXO42	1.886187048396438
SZRD1	1.98176917016911
SPATA21	0.13371098896524106
NECAP2	2.3893507661817592
NBPF1	1.8102873461518836
CROCC	2.033382835519032
MFAP2	1.9495494776962596
ATP13A2	2.164303846081058
SDHB	2.3967828363228185
PADI2	1.9906149665775232
PADI1	0.08672377054833928
PADI3	0.23139334504017053
PADI4	0.5571098517261979
PADI6	0.00984702778857705
RCC2	2.3656000336849625
ARHGEF10L	2.148822147510635
ACTL8	0.019030367719071992
IGSF21	1.6480229227062175
KLHDC7A	1.6099776523780165
PAX7	0.004430083250345124
TAS1R2	0.01509767475588718
ALDH4A1	2.319489880873669
IFFO2	1.411333352200311
UBR4	2.2098675941943426
EMC1	1.9154519812017674
MRTO4	2.274370539544833
AKR7A3	1.8228333173081928
AKR7A2	2.4248386598173837
PQLC2	1.9900072344081199
CAPZB	2.62754126766901
MINOS1	1.5306952946869568
MINOS1-NBL1	0.044647813866290326
NBL1	0.9758346363585753
HTR6	0.10580945108510245
TMCO4	2.071033681343241
RNF186	1.1793936280977486
OTUD3	1.8355894164161353
PLA2G2E	0.0027024215542107463
PLA2G2A	2.7436651857064227
PLA2G5	1.4293421163764521
PLA2G2D	0.19682697136448557
PLA2G2F	0.022849576595926544
PLA2G2C	0.08636801623962424
UBXN10	1.1917960117002684
VWA5B1	0.07275523012700508
CAMK2N1	2.258029678670637
MUL1	2.253389026465723
FAM43B	0.7225737729540237
CDA	1.7509167369485534
PINK1	2.4134910235527505
DDOST	2.613777809754601
KIF17	1.4887387310394227
SH2D5	0.2509751522899622
HP1BP3	2.5061454693367073
EIF4G3	2.1619017924304305
ECE1	2.5962325277276017
NBPF3	1.5447016679073882
ALPL	2.3586127259391727
RAP1GAP	1.7040384770597017
USP48	2.1691235470268944
LDLRAD2	1.081676121821817
HSPG2	2.5121103568241923
CELA3B	1.5540389344310819
CELA3A	1.9517431065115576
CDC42	2.6068639461255914
WNT4	1.2469563951935396
ZBTB40	2.0388227811189124
EPHA8	0.04766457436266914
C1QA	2.578908982659854
C1QC	2.5748285288611514
C1QB	2.5974793675306884
EPHB2	1.2808536645631494
LACTBL1	0.0014916814983220133
KDM1A	2.3818599668922085
LUZP1	1.9422643594463527
HTR1D	0.11125614212843189
HNRNPR	2.2845035323332192
ZNF436	2.095034433770601
TCEA3	2.072818594818874
ASAP3	2.255110805149558
E2F2	0.4500365426851547
ID3	2.654407699850887
RPL11	3.0491109455006065
PITHD1	2.393041165668076
LYPLA2	2.3549960364686395
GALE	1.8256840762214188
HMGCL	2.0899941457652975
FUCA1	2.2164879471396626
CNR2	0.05631926749737946
PNRC2	2.559302456672762
SRSF10	2.2931525793985332
MYOM3	0.7654306800917487
IL22RA1	1.0681727589524064
IFNLR1	1.3259608069637179
GRHL3	0.6138388444544428
STPG1	1.5228420359726897
NIPAL3	1.6621872201472625
RCAN3	1.3638063366098754
NCMAP	1.1388537592568697
SRRM1	2.479592548908254
CLIC4	2.6788200216912066
RUNX3	1.6871078898254945
SYF2	2.3630774684043123
RHD	0.5759931744982945
TMEM50A	2.457504818776166
RHCE	0.4635459500705323
LDLRAP1	2.0134226750731754
MAN1C1	1.7032643802613545
MTFR1L	2.4328533777668295
AUNIP	0.5211807894147858
PAQR7	1.8937442373598978
STMN1	2.0383520998005347
PAFAH2	1.8276143629455908
EXTL1	1.1394376616987292
SLC30A2	0.7067587030529517
TRIM63	0.9327290680167024
PDIK1L	1.5825470601605323
