Input Sample,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,P-value,Pearson Correlation,RMSE
BC_01,0.05571403945012823,0.027588970938893433,0.04517447876831091,0.10286202124965778,0.027705834427793175,0,0.14372982133172937,0,0,0,0.0029430201555131416,0,0,0,0.024098792938447296,0,0.09515772474367408,0.05252587733772837,0.012379158175476052,0.11758395641918691,0,0,0,0,0,0.0006,0.09000739936389328,0.10670683716315421,0.05314216597824761,0.04207869349225835,0,0.4687907487303363,0.9906509371321954
BC_02,0,0,0.16752717066995898,0,0,0,0.014560458905667052,0,0.07362622164806017,0,0,0.07157227059797615,0,0.009589425920405173,0,0.011618312745881123,0.10660308137324041,0.1466928974412326,0.12897177975021415,0.05291231254670009,0,0.03012515751312694,0,0,0,0,0.10113237706726372,0.06077407785785772,0,0.024294455962415754,0.36,0.07190222558383723,1.2992305602214844
BC_03,0,0,0.22572404604481228,0,0,0,0.06994834284140625,0,0.002357026943321448,0,0,0.03357715744137741,0.012101220326797594,0.01056841761627151,0.053200394407870305,0,0.07890039503541979,0.1571236050518658,0.15648828968077863,0.17965385164249228,0,0,0,0,0,0,0,0,0.020357252967586743,0,0.01,0.40956213115293527,1.0461824866026106
BC_03LN,0,0,0.17987847091201692,0,0.04997119184958118,0,0,0,0.021138404181120427,0,0,0.04288307171934379,0.04941382471521802,0,0.08068814920986812,0.03325481414247312,0.03096365012898651,0.15981599332936808,0.06535440424600882,0.17817913090129822,0.043196788939234704,0,0,0,0,0,0.029389998159980637,0,0.03587210756550154,0,0.01,0.34625406221346333,1.0881458765035381
BC_04,0.07852064828854988,0,0,0.039047212644002086,0,0,0,0.02015720550001246,0.07081382618200827,0,0,0,0,0.04895998166819963,0.010377918902255943,0.021520694346913057,0.03624255660081163,0.07833277102612855,0,0,0.09658442468692482,0.012030046382006391,0.023429838269287313,0.08227952355551611,0.008512940081866566,0.11069249309272668,0.18108745011810576,0,0.08141046865468485,0,0.02,0.30235441225283716,1.1166424219692204
BC_05,0.024660018579607337,0.06420283923915886,0.08283071099372173,0.07666562877311331,0,0,0.1111011946126462,0,0,0,0.11291328383636128,0.001,0,0.05417944076590348,0,0,0.023386933941784618,0.14147192173648937,0.07062730723422164,0.06917740598904562,0.03622597388871112,0,0,0,0,0,0.004268790821824632,0,0.0015532281559027675,0.12575486166944838,0.01,0.39602470065515627,1.059846177142172
BC_06,0,0,0.14056910301836895,0.04902074391293518,0,0,0,0,0.14342613246567323,0,0,0.019780703043556485,0.09879928016697999,0,0.08359173274571906,0,0.019715214173244438,0.166002131747597,0.09710545438725875,0.035316225487437646,0.08368022904078698,0,0,0.015253527521410676,0,0.0341071791722343,0.013632343116797362,0,0,0,0,0.44280517958441845,0.9996430996830825
BC_07,0.0354595883267887,0.24298393329259274,0.06787896526550864,0,0,0.23764361543020823,0,0,0,0,0.044284648209348576,0,0,0.045135681745202036,0.013683382640044445,0,0.02469902767875678,0,0.02299555635626687,0,0,0,0,0.09261561348283125,0.03595496644486451,0.0022615670159696305,0,0,0.047513402846466754,0.08689005126515077,0.52,0.015653546569424158,1.346281142372675
BC_07LN,0,0,0.20524036459948922,0,0,0.013833048244256154,0,0,0.07455861037355739,0,0,0.009328701605624032,0.09875239118247213,0,0.05876595633816145,0,0.0628790594010375,0.1407791910193191,0.15763554195415155,0.13635186075984285,0,0,0,0,0.02910813734762166,0.012767137174466965,0,0,0,0,0.32,0.09595121001654273,1.27940352932411
BC_08,0,0,0.04110974343261904,0,0,0,0,0.06835319117758362,0.1802374974986283,0.09184642859689764,0.07542790997284095,0,0,0.014079003654773254,0.01889173114171149,0,0,0.02637474260702612,0,0.07754139313366451,0,0,0,0.138998244788301,0,0.06035947688438286,0.2067806371115712,0,0,0,0.02,0.29455217109292303,1.1212260396301135
BC_09,0,0,0.12012651052749256,0,0,0.06404805815814414,0,0,0.07527506822256096,0,0,0.061906636798602324,0.047007427869922104,0,0.09681467787250854,0.04319405498054931,0,0.16453036430325982,0,0.2196525481661514,0.04073650037217408,0.03040577555458645,0,0,0,0,0,0,0.036302377174048224,0,0.17,0.14162294607045264,1.2450521486812838
BC_10,0,0.038210875698491756,0.10852978997612464,0,0,0,0.01241031144567604,0.13996486359205293,0.17642419789609845,0.03557969470921865,0,0,0,0.11840927543286307,0,0,0,0.012631784919963864,0,0,0,0,0,0.09348488986405885,0.08935910769650696,0,0.1749952087689447,0,0,0,0.49,0.025576973760701876,1.322344341043994
BC_11,0,0,0.007755897865112882,0,0,0,0,0.024440855683228138,0.15345102993477983,0.06631266655451898,0,0.03641847853922155,0.011437582285670982,0.13369309796690243,0,0,0.027363947561904016,0.10113223695899329,0,0.13641245499811044,0,0,0.008707657437741224,0.04598463990535498,0,0.08892472266113992,0.13390606742323452,0.024058664224086937,0,0,0.36,0.07627746211966473,1.2847248864610241
