Input Sample,BC_01,BC_02,BC_03,BC_03LN,BC_04,BC_05,BC_06,BC_07,BC_07LN,BC_08,BC_09,BC_10,BC_11,P-value,Pearson Correlation,RMSE
sample1,0.3988234557916184,0,0,0,0.2260723606936508,0.08130287723208107,0.08876351933100103,0,0.20503778695164868,0,0,0,0,0,0.4876111703669768,0.9115234077500716
sample2,0.46648960268767187,0,0,0,0.08899694577817893,0.1604114026998333,0,0.030087485761785684,0.20965272815367747,0,0.03743751921701182,0.006924315701840985,0,0.01,0.3671212997965579,1.009258690816883
sample3,0.2774377951085588,0,0.17601656898854087,0,0.010660043372460345,0,0.22726504568846434,0,0.1718825520363914,0.05339576453881544,0.08334223026676889,0,0,0,0.43819821471401355,0.947881248941066
sample4,0.2786330956359964,0,0.20978224157224842,0,0.04428838369983637,0,0.24988823072906097,0.02024673102290713,0.052275664813235236,0.10404066271387707,0.0408449898128383,0,0,0,0.3973192140034365,0.9798782586544543
sample5,0.1751113925436147,0.06058790474664097,0.10875724619246724,0.07046707069764072,0,0,0.21843929219668565,0,0.11261245072263616,0.1977900679140822,0.04888791661141198,0,0.0073466583748203465,0.07,0.28572989108908503,1.0568417715022385
sample6,0.14802538020244166,0,0.053359855652096916,0.18195978294709111,0,0,0.25069400390238006,0.0023336039316491195,0.08010629610445118,0.1528981622198773,0.1306229150400127,0,0,0.02,0.3562326189056771,1.0046678065181802
sample7,0.4647907807592655,0,0.09346546529164965,0.04211568930812095,0.11450696271781631,0,0.07191200982110982,0,0.09673330594680862,0.06915044946269729,0.0035421064465280794,0.007443631745956291,0.03633959850004756,0,0.501970626344651,0.8983260751356492
sample8,0.10393849169710644,0,0.06355024951837981,0.032459281864634565,0.05368038955474814,0,0.20466080679520182,0,0.17265587682032452,0.22756313114300256,0.14149177260660215,0,0,0.07,0.286625907121897,1.04901689563708
sample9,0.11187671254400984,0,0.11845479775044916,0.05631855631128315,0,0.10181002417957194,0.34382557732172625,0,0.045555606959304905,0.14152455740040443,0.0540916909624995,0,0.026542476570750807,0,0.49672492825278486,0.9049831608629412
sample10,0.29513014279178806,0,0,0,0.010519243651404067,0,0.062479573271954546,0.17046831464934245,0.09207020758849373,0.2106031326407894,0.15872938540622772,0,0,0.08,0.27023783489856484,1.0511357819953862
sample11,0.41896877836190155,0,0,0,0.08825253216319076,0.08498104972860648,0.05040279440129623,0.10182092238652189,0.02288114394819118,0.14212235338460422,0.09057042562568769,0,0,0,0.4464241317001934,0.9328596553630567
sample12,0,0.06668582917910147,0.1461574640096881,0,0.04219394263367641,0,0.2346690330470277,0,0.21168390727390785,0.08469233778699928,0.2139174860695992,0,0,0,0.47921149501635396,0.9222768227222569
sample13,0.16653371947505696,0,0,0.021742198578308322,0.03138543337173768,0,0.20679042816605467,0,0.19737888348503088,0.18550164534440772,0.19066769157940378,0,0,0.02,0.3343721516013262,1.014006915679865
sample14,0.47533672199277055,0,0.10908468674816427,0.058618482553004725,0.12188632146463876,0.03587953466675301,0.018743198593354143,0.06301853526442602,0,0.05675794775479303,0.06067457096209557,0,0,0,0.5098689517922071,0.8913444438160482
sample15,0,0.03460896183648203,0,0.05051985803864589,0.06787316435317212,0,0.3882636485859531,0.10367738985049758,0.17536519684562468,0.17969178048962461,0,0,0,0,0.3952654551095639,0.9922248345673028
sample16,0.5792052881930904,0,0,0.05896446057432754,0.037162420548969864,0.159817610424968,0.059494622544757444,0,0.09476174920462015,0,0.010593848509266606,0,0,0,0.4563865321945707,0.9558808671395702
sample17,0.34591640662716444,0,0.06677732872876534,0.06862350364107288,0.033959413946594616,0.007997111333639367,0.11826137893291629,0,0.17337821237609138,0.11167115230721959,0.07341549210653614,0,0,0.02,0.33675303534706097,1.0166767688906413
sample18,0.40136077851588015,0,0.07145642731639544,0.0011603470951884048,0,0.07952560534431732,0.17857209323429304,0.13838733689465527,0.061377266927209996,0.06816014467206048,0,0,0,0,0.5046656522170068,0.8947804235187136
sample19,0.33421261690883036,0,0.09221911253405893,0.0228005809795589,0.03203934679475288,0,0.18351454939353173,0,0.19276764452837097,0.060838809519653925,0.08160733934124229,0,0,0.02,0.33231809686889646,1.0225949162526906
sample20,0.37692767792205817,0,0.18466668465017083,0.07559746226729312,0,0,0.12453981048700703,0,0.11245317445489679,0,0.12581519021857415,0,0,0.06,0.3108648735570121,1.0469547961753825
sample21,0.3279993242009905,0,0.019375001144155767,0.05748633011999249,0,0,0.21166546634968866,0,0.08642988234140936,0.16893644495511664,0.12810755088864667,0,0,0,0.4679581264158016,0.9182773316707719
sample22,0,0.1126545411380836,0.038858088608123544,0.17694859188064616,0.024501125494152648,0,0.1619368861945044,0,0.06432206739078364,0.22364906120460298,0.19712963808910303,0,0,0.02,0.36189663273803385,1.0011238468002706
sample23,0.0820932387046224,0,0.2528217707651081,0,0.06585242428457706,0,0.13539769413644512,0,0.33015444548460227,0.018215962080693683,0.11546446454395133,0,0,0.4,0.08224873680307368,1.2257004156912952
