ER+ ,HER2+,TNBC,Bcells,Tcells,T helper cells,CD8 Tcells,Cytotoxic Cells,NK Cells,Dendritic Cells,Eosinophils,Macrophages,Mast Cells,Neutrophils
CPB1,MUC19,FABP7,MS4A1,PRKCQ,ICOS,CD8B,KLRD1,LOC643313,CD209,IL5RA,MARCO,PRG2,CSF3R
RP11-53O19.1,RPS12P26,TSPAN8,TCL1A,CD3D,LRBA,CD8A,KLRF1,GAGE2,CCL17,KCNH2,CXCL5,CTSG,CYP4F3
TFF1,CEACAM5,CYP4Z1,HLA-DOB,CD3G,ITM2A,PF4,GNLY,ZNF747,HSD11B1,TKTL1,SCG5,TPSAB1,VNN3
PVALB,UBD,HOXA10,PNOC,CD28,FAM111A,PRR5,CTSW,XCL1,CCL13,EMR1,SULT1C2,SLC18A2,FPRL1
ANKRD30B,H19,CLDN1,KIAA0125,LCK,PHF10,SF1,KLRB1,XCL2,CCL22,CCR3,MSR1,MS4A2,KCNJ15
LINC00173,NDST4,TMSB15A,CD19,TRAT1,NUP107,LIME1,KLRK1,AF107846,PPFIBP2,ACACB,CTSK,CPA3,MME
DSCAM-AS1,KRT20,C10orf10,CR2,BCL11B,SEC24C,DNAJB1,NKG7,SLC30A5,NPR1,THBS1,PTGDS,TPSB2,IL8RA
IGHG1,RP11-483P21.2,TRPV6,IGHG1,CD2,NAP1L4,ARHGAP8,GZMH,SGMS1,CD1B,GALC,COLEC12,TPSB2,IL8RB
SERPINA5,BPIFB2,HOXA9,FCRL2,TRBC1,BATF,GZMM,SIGIRR,MCM3AP,VASH1,RNU2,GPC4,GATA2,FCGR3B
ESR1,EREG,ATP13A4,BLK,TRAC,ASF1A,SLC16A7,ZBTB16,TBXA2R,F13A1,CLC,PCOLCE2,HDC,DYSF
LRP2,RP11-697E2.7,GLYATL2,COCH,ITM2A,FRYL,SFRS7,RUNX3,CDC5L,CD1E,HIST1H1C,CHIT1,LOH11CR2A,FCAR
IGLC3,IL8,RP11-48O20.4,OSBPL10,SH2D1A,FUSIP1,APBA2,APOL3,LOC730096,MMP12,CYSLTR2,KAL1,SIGLEC6,CEACAM3
CA12,ZNF710,DYRK3,IGHA1,CD6,YME1L1,C4orf15,RORA,FUT5,FABP4,HRH4,CLEC5A,ELA2,HIST1H2BC
RP11-64B16.2,MTND2P28,MUCL1,TNFRSF17,CD96,TRA,LEPROTL1,APBA2,FGF18,CLEC10A,RNASE2,ME1,CMA1,HPSE
SLC7A2,RP11-617F23.1,ID4,ABCB4,NCALD,RPA1,ZFP36L2,WHDC1L1,MRC2,SYT17,CAT,DNASE2B,PGDS,CPPED1
AFF3,TFPI,FGFR2,BLNK,GIMAP5,UBE2L3,GADD45A,DUSP2,RP5-886K2.1,MS4A6A,LRP5L,CCL7,MLPH,CREB5
IGFBP4,KRT86,SHOX2,GLDC,TRA,ANP32B,MYST3,GZMA,SPN,CTNS,SYNJ1,FN1,ADCYAP1,S100A12
GSTM3,NR1D1,Z83851.1,MEF2C,CD3E,DDX50,ZEB1,,PSMD4,GUCA1A,THBS4,CD163,SLC24A3,TNFRSF10C
ANKRD30A,NGRN,CD82,IGHM,SKAP1,C13orf34,ZNF609,,PRX,CARD9,GPR44,GM2A,CALB2,SLC22A4
GSTT1,CXCL1,COL6A1,FAM30A,,PPP2R5C,C12orf47,,FZR1,ABCG2,KBTBD11,SCARB2,KIT,TECPR2
GSTM1,GRB7,KRT23,SPIB,,SLC25A12,THUMPD1,,ZNF205,CD1A,HES1,BCAT1,TAL1,SLC25A37
AC026806.2,IGF2BP2,GCHFR,BCL11A,,ATF2,VAMP2,,AL080130,PPARG,ABHD2,RAI14,ABCC4,BST1
C19orf33,SEMA4B,PRICKLE1,GNG7,,CD28,ZNF91,,ZNF528,RAP1GAP,TIPARP,COL8A2,PPM1H,CRISPLD2
STC2,CIB1,GCNT2,IGKC,,GOLGA8A,ZNF22,,MAPRE3,SLC7A8,SMPD3,APOE,MAOB,G0S2
HSPB8,MIEN1,KHDRBS3,CD72,,IFNG,TMC6,,BCL2,GSTT1,MYO15B,CHI3L1,HPGD,SIGLEC5
RPL29P11,CDC6,SIPA1L2,MICAL3,,LTA,FLT3LG,,NM_017616,PDXK,TGIF1,ATG7,SCG2,CD93
FBP1,SIX4,LMO4,BACH2,,APBB2,CDKN2AIP,,ARL6IP2,FZD2,RRP12,CD84,PTGS1,MGAM
AGR3,PTPN13,TFAP2B,IGL,,DOK5,TSC22D3,,PDLIM4,CSF1R,IGSF2,FDX1,CEACAM8,ALPL
TCEAL1,MSL1,SLC43A3,CCR9,,IL12RB2,TBCC,,TRPV6,HS3ST2,RCOR3,MS4A4A,MPO,FPR1
CYP4B1,CEACAM6,FURIN,QRSL1,,APOD,RBM3,,LDB3,CH25H,EPN2,SGMS1,NR0B1,PDE4B
SYT1,CAPS,ELF5,DTNB,,ZBTB32,ABT1,,ADARB1,LMAN2L,C9orf156,EMP1,LOC339524,LILRB2
COX6C,PPP1R1B,C1orf116,HLA-DQA1,,CD38,C19orf6,,SMEK1,SLC26A6,SIAH1,CYBB,,
MT1E,AREG,ADD3,SCN3A,,CSF2,CAMLG,,TCTN2,BLVRB,,CD68,,
SYTL2,ERBB2,EFNA3,SLC15A2,,CTLA4,PPP1R2,,TINAGL1,NUDT9,,,,
THSD4,PEG10,EFCAB4A,,,CD70,AES,,IGFBP5,PREP,,,,
IFI6,MED1,LTF,,,DPP4,KLF9,,ALDH1B1,TM7SF4,,,,
KIAA1467,AP3S2,LRRC31,,,EGFL6,PRF1,,NCR1,TACSTD2,,,,
SLC39A6,IDH2,ARL4C,,,BST2,,,KIR3DL2,CD1C,,,,
ABCD3,RP11-889L3.1,GPNMB,,,DUSP5,,,SPON2,CCL1,,,,
SERPINA3,RPL19,VIM,,,LRP8,,,KIR2DL3,EBI3,,,,
DEGS2,CDK12,SDR16C5,,,IL22,,,GZMB,INDO,,,,
ERLIN2,RP11-690G19.3,RHOV,,,DGKI,,,KIR3DS1,LAMP3,,,,
HEBP1,NLK,PXDC1,,,CCL4,,,KIR3DL1,OAS3,,,,
BCL2,CASC3,MALL,,,GGT1,,,TCC38,IL3RA,,,,
TCEAL3,STARD3,YAP1,,,LRRN3,,,PMEPA1,,,,,
PPT1,MED31,A2ML1,,,SYNGR3,,,IL21R,,,,,
SLC7A8,TXNDC17,RP1-257A7.5,,,ATP9A,,,KIR3DL3,,,,,
RP11-96D1.10,KPNA2,RP11-353N4.6,,,BTG3,,,KIR2DS5,,,,,
HIST1H4H,,ZBTB18,,,CMAH,,,KIR2DS2,,,,,
PI15,,CTD-2314B22.3,,,HBEGF,,,GTF3C1,,,,,
PPAPDC1B,,GALNT3,,,SGCB,,,KIR2DS1,,,,,
RARRES3,,BCL11A,,,PMCH,,,S1PR5,,,,,
GALNT6,,CXADR,,,AHI1,,,DUSP4,,,,,
IL6ST,,SSFA2,,,PTGIS,,,RRAD,,,,,
MYC,,ADM,,,CXCR6,,,PLA2G6,,,,,
BST2,,GUCY1A3,,,EVI5,,,NIBP,,,,,
RP11-658F2.8,,GSTP1,,,IL26,,,FOXJ1,,,,,
MRPS30,,ADCK3,,,MB,,,,,,,,
MAPT,,SLC25A37,,,NEIL3,,,MADD,,,,,
AMFR,,SFRP1,,,GSTA4,,,LPCAT4,,,,,
TCEAL4,,PRNP,,,PHEX,,,MPPED1,,,,,
MED13L,,DEGS1,,,SMAD2,,,MUC3B,,,,,
ISG15,,RP11-110G21.2,,,CENPF,,,,,,,,
NDUFC2,,RBMS1,,,ANK1,,,,,,,,
TIMP3,,RP11-640M9.1,,,ADCY1,,,,,,,,
RP13-39P12.3,,AL589743.1,,,LOC728210,,,,,,,,
PARD6B,,ATF3,,,LAIR2,,,,,,,,
,,SIVA1,,,SNRPD1,,,,,,,,
,,TACSTD2,,,MICAL2,,,,,,,,
,,HEBP2,,,DHFR,,,,,,,,
,,,,,WDHD1,,,,,,,,
,,,,,BIRC5,,,,,,,,
,,,,,SLC39A14,,,,,,,,
,,,,,HELLS,,,,,,,,
,,,,,LIMA1,,,,,,,,
,,,,,CDC25C,,,,,,,,
,,,,,CDC7,,,,,,,,
,,,,,GATA3,,,,,,,,
