gene_name	BC_01	BC_02	BC_03	BC_03LN	BC_04	BC_05	BC_06	BC_07	BC_07LN	BC_08	BC_09	BC_10	BC_11
ACACB	0.0	0.33825636	0.59392395	0.95711854	0.4507517	0.48594728	0.0	1.61725045	0.23663701	0.00606851	0.22140871	0.0	0.71473075
ADARB1	0.4819512	0.03077166	0.92286368	1.98553038	0.1087784	0.60168672	0.00677698	0.51352785	0.46314051	2.45526886	0.30257068	1.74013717	3.05310026
ADCY1	0.52904329	1.34992672	0.07219495	0.01210822	0.00321516	0.06108288	0.0	0.15951442	0.01386569	0.33895363	0.0	0.0	0.0
ADCYAP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03249733	0.0
AES	3.20469888	2.62606513	2.32775221	2.59701706	2.59036038	2.67174541	1.89009537	2.80215942	3.56254046	2.13267317	3.06111419	2.8101178	2.751574
NR0B1	0.0	0.0	0.0	0.0	0.0	0.0	0.00637961	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1B1	2.57123136	1.29016688	0.31263833	0.55346705	1.13707217	2.26434364	1.27234148	0.92262358	0.67227039	2.48881206	0.74755645	1.26235963	3.50451946
ALPL	0.0	0.0	0.26194838	0.0	0.0	0.19746604	0.41660285	0.0	2.16786701	0.9752157	1.64125952	0.0	0.0
ANK1	0.0	0.94300221	0.0190074	1.34901721	0.14476048	0.0	0.0	1.46134726	1.54543258	0.27002714	0.03906044	0.0	0.0
APBA2	0.0110921	0.0	0.0	0.0	0.26963891	0.53618953	0.0	0.46324062	0.34050721	0.11216341	0.12692629	0.25802795	0.0
APBB2	1.26900399	1.93095189	3.14749013	2.31792143	2.04979015	2.54460393	0.07991962	2.63675777	1.47597121	0.89910034	0.55770921	1.17364245	2.43624148
BIRC5	1.39900174	1.51798813	3.37205615	5.03695496	2.67157374	3.63692634	4.165331	2.99913823	4.04670562	0.71826388	3.43199598	2.60951817	4.41649394
APOD	0.0	6.52975689	6.03269727	4.9179111	2.80506412	1.7903082	0.08581066	5.12895384	5.72209614	5.55861931	2.48996329	0.0	5.49307641
APOE	0.0	1.00515159	0.70269604	0.01085002	1.02440001	1.34574289	0.79480083	2.47475728	0.0	1.36509293	3.63755546	2.16862504	0.0
AREG	0.18934809	3.33519112	3.76962462	3.15861614	5.13991359	1.37958358	3.90844862	3.62948324	2.97077241	0.69423355	3.40860874	3.60241906	0.0
BCAT1	0.6867808	1.85777569	1.92960026	3.79736689	2.01709271	0.32724613	2.1087576	2.43342414	3.89450441	3.47956645	3.33960563	0.07753958	0.80322383
BCL2	3.11806903	2.47508176	2.28105774	1.93662038	1.09787756	0.82656493	0.06015392	1.47973113	2.40398305	0.0	0.67557706	1.89752615	0.78390154
TNFRSF17	0.0	0.00782644	2.79785796	4.37293085	0.0	0.0	2.29285794	0.07605286	2.87894403	0.0	1.71211483	0.0	0.0
BLK	0.0	0.0	0.33974872	1.44276062	0.0	0.0	0.15426496	0.0	1.71059716	0.0	0.05069311	0.0	0.0
BLVRB	5.3669353	3.99054037	4.51570075	3.45346202	2.5631877	3.6288985	4.35790299	4.34775483	4.37081544	4.77115246	3.82595664	4.11352404	4.65276483
ZFP36L2	3.68692562	3.23840531	4.99082964	4.67453681	4.60467345	3.58489606	3.13896644	4.89215496	4.64757161	4.94111123	4.13310844	3.26997285	4.97441758
BST1	0.0	0.77159521	0.07320022	0.0	0.26639784	1.42194979	0.99989632	1.44756468	0.01274858	1.61680203	0.60768007	0.0	0.0
BST2	0.05426963	6.32277873	5.54746789	4.91830733	4.65512513	6.0924616	3.68430903	4.28687796	3.28426776	4.09032199	6.45630723	3.62544033	6.17398684
KLF9	1.29641173	1.17700528	2.22783242	2.53933744	1.84425543	1.79599292	2.15607846	2.42362209	2.2755435	1.89048936	0.72189659	1.23055388	3.1658969
MPPED1	0.0	1.57269983	0.01555408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALB2	0.0	0.0	1.14318939	1.4118735	0.12581099	0.0	0.0	0.0	0.0	3.32168352	0.0	3.24012349	1.49494491
CAMLG	4.53557274	3.22360036	3.31639487	3.08019039	2.90095585	2.16471033	1.44588315	3.56355519	3.09375746	4.02001918	3.04533956	1.0211011	3.51319943
CAPS	0.28170269	0.49904219	0.94632174	0.09083738	2.94864955	1.54465694	0.84346194	0.20844786	0.0748624	1.61056771	1.13927427	0.98511692	0.11414004
CAT	3.35938665	2.7977712	3.54908913	3.17817504	4.04434689	3.61159862	3.23619694	3.9200223	4.40722763	2.98341763	4.16351297	3.10567913	4.26168066
RUNX3	0.12527626	0.26167722	3.44256409	3.71049416	1.26680436	1.88923181	0.00955421	3.20898392	3.68887945	1.61533354	2.70552479	0.24245586	3.26137786
CD1A	0.0	0.18603489	0.0	1.59297588	0.04668949	0.0	0.0	3.8374727	0.88967552	0.0	0.0	0.06473381	2.08159831
CD1B	0.0	0.0	0.0	0.0	0.44793997	0.0	0.0	1.09854693	0.0	0.0	0.0	0.0	1.26797141
CD1C	0.0	0.0	1.06610771	3.21656771	1.99012396	0.0	4.74768312	3.21158658	4.22507487	3.7235119	1.34138416	0.01857639	0.23255368
CD1E	0.0	0.0	0.0	1.40605242	1.63451078	0.0	2.58405793	3.81915064	3.4104625	0.0	2.02555717	0.0	2.98494705
CD2	0.04364876	0.0	4.67401278	3.5563761	3.22132706	0.0	0.21349717	4.34037709	2.26180241	0.0	5.07201989	0.02041518	1.87236146
CD3D	0.05025429	0.01118719	5.13292468	3.63699268	3.31545484	0.0	3.14675234	4.50711841	4.27490619	0.10865942	5.74163794	0.04700285	4.54888839
CD3E	0.0	0.0	1.6412508	1.42245094	0.55398252	0.0	2.39118188	1.96785252	1.78132789	0.0	3.8673394	0.01734864	1.86436198
CD3G	1.10512947	0.0	4.70710457	3.69959457	2.90263152	0.55500406	3.97417869	4.27091979	3.83725879	0.03880257	5.95526553	0.08560414	4.17826784
CD6	0.05826891	0.0	1.07278615	0.39363787	0.31084396	0.00634347	0.0	1.08227033	0.80580178	0.0	1.96498889	0.0	1.35957697
CD8A	0.28344233	0.0	1.33826742	0.62106513	1.85120027	0.66061057	0.00518653	3.54896922	0.02496869	0.12835497	3.92390876	0.02286167	0.24116206
CD8B	0.0	0.05218575	0.0	0.00217944	0.0	0.05286349	0.0	0.39548079	0.0	0.0	3.37928687	1.49724858	0.09365592
CD19	0.0	0.0	2.81633077	3.38322472	0.0	0.0	0.53438589	0.00586512	3.60532863	0.0	0.74193734	0.0	0.0
MS4A1	0.00383878	0.0	5.81394496	6.87737217	0.06876686	0.0	6.08079781	4.25390635	6.76224406	0.23730369	3.36826088	0.0	0.96974533
CD28	0.0	0.0	3.23650333	1.21031628	0.04862873	0.0	0.0	2.0643279	1.07235871	0.0	3.07451265	0.00560924	0.0
