0,1,2,3,4,5
ENSG00000283891,MIR628,miRNA,55372940,55373034,15
ENSG00000251931,RNU6-871P,snRNA,59450673,59450772,12
ENSG00000207766,MIR626,miRNA,41691585,41691678,15
ENSG00000275323,AC012314.7,protein_coding,54201473,54208260,CHR_HSCHR19LRC_LRC_J_CTG3_1
ENSG00000276678,GHRLOS,misc_RNA,10287413,10287482,3
ENSG00000207260,RNU6-35P,snRNA,109992325,109992431,4
ENSG00000265993,MIR5694,miRNA,67441855,67441930,14
ENSG00000207185,RNU6-1157P,snRNA,118593988,118594093,11
ENSG00000283793,MIR6861,miRNA,112163258,112163321,12
ENSG00000201545,RNU4-85P,snRNA,19996803,19996925,3
ENSG00000283621,MIR6759,miRNA,57748618,57748682,12
ENSG00000264032,MIR4491,miRNA,111347757,111347824,11
ENSG00000207172,RNU6-1162P,snRNA,63630678,63630781,14
ENSG00000206629,RNU1-63P,snRNA,67429591,67429754,4
ENSG00000283558,hsa-mir-3158-1,miRNA,101601417,101601497,10
ENSG00000252735,RNU6-528P,snRNA,33338867,33338966,8
ENSG00000252319,Y_RNA,misc_RNA,8720034,8720132,18
ENSG00000201912,RN7SKP189,misc_RNA,145057108,145057437,X
ENSG00000274122,Metazoa_SRP,misc_RNA,28387160,28387417,CHR_HSCHR15_1_CTG8
ENSG00000200162,Y_RNA,misc_RNA,153607377,153607479,3
ENSG00000200163,SNORD115-18,snoRNA,25203227,25203308,15
ENSG00000276764,Metazoa_SRP,misc_RNA,18958147,18958413,5
ENSG00000275994,SNORA24,snoRNA,118279190,118279320,4
ENSG00000277950,Metazoa_SRP,misc_RNA,20070716,20070965,22
ENSG00000222308,RNA5SP198,rRNA,151875566,151875692,5
ENSG00000201965,Y_RNA,misc_RNA,38125292,38125394,3
ENSG00000252264,RNU7-153P,snRNA,14319455,14319516,8
ENSG00000200121,Y_RNA,misc_RNA,175176493,175176586,2
ENSG00000251770,RNA5SP486,rRNA,47873191,47873273,20
ENSG00000202217,RN7SKP47,misc_RNA,74799895,74800222,9
ENSG00000244748,RN7SL153P,misc_RNA,72314397,72314688,5
ENSG00000251972,RNU6-123P,snRNA,25943044,25943145,21
ENSG00000212607,SNORA3B,snoRNA,8685439,8685569,11
ENSG00000283290,U6,snRNA,24352057,24352157,14
ENSG00000207321,RNU6-160P,snRNA,153331622,153331728,1
ENSG00000284185,MIR219A2,miRNA,128392618,128392714,9
ENSG00000263858,MIR4769,miRNA,47587429,47587505,X
ENSG00000283409,MIR3662,miRNA,134979338,134979432,6
ENSG00000264357,MIR4648,miRNA,2527074,2527145,7
ENSG00000264249,MIR3912,miRNA,171386656,171386760,5
ENSG00000239822,RN7SL754P,misc_RNA,430239,430504,10
ENSG00000274046,Y_RNA,misc_RNA,7092616,7092716,21
ENSG00000199879,RNU1-120P,snRNA,148263476,148263632,1
ENSG00000221763,MIR1289-1,miRNA,35453954,35454097,20
ENSG00000278618,MIR8069-2,miRNA,13724189,13724274,21
ENSG00000264075,MIR4783,miRNA,127423537,127423618,2
ENSG00000252076,RN7SKP196,misc_RNA,58869184,58869528,10
ENSG00000263510,MIR4497,miRNA,109833348,109833436,12
ENSG00000266555,MIR3145,miRNA,138435213,138435294,6
ENSG00000264986,MIR5092,miRNA,125151465,125151552,3
ENSG00000207924,MIR196A2,miRNA,53991738,53991847,12
ENSG00000243015,RN7SL737P,misc_RNA,93509487,93509768,12
ENSG00000207798,MIR216A,miRNA,55988950,55989059,2
ENSG00000268674,FAM231D,protein_coding,35407,35916,KI270713.1
ENSG00000264975,MIR4431,miRNA,52702522,52702615,2
ENSG00000201216,Y_RNA,misc_RNA,102950467,102950564,8
ENSG00000277845,RN7SKP175,misc_RNA,143542110,143542398,CHR_HSCHR8_3_CTG7
ENSG00000266663,MIR3169,miRNA,61199798,61199880,13
ENSG00000283664,MIR4679-1,miRNA,89063336,89063410,10
ENSG00000207122,RNU6-591P,snRNA,39081180,39081285,X
ENSG00000212238,RNA5SP244,rRNA,129756266,129756377,7
ENSG00000201489,Y_RNA,misc_RNA,7537096,7537196,17
ENSG00000277994,HOTAIR_3,misc_RNA,53965965,53966061,12
ENSG00000206917,RNU1-52P,snRNA,58677574,58677737,17
ENSG00000206722,RNU6-1074P,snRNA,139256657,139256760,4
